index,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_行1,Q9_行2,Q9_行3,Q9_行4,Q9_行5,Q9_行6,Q9_行7,Q9_行8,Q9_行9,Q9_行10,Q9_行11,Q9_行12,Q9_行13,Q9_行14,Q9_行15,Q9_行16,Q10_行1,Q10_行2,Q10_行3,Q10_行4,Q10_行5,Q10_行6,Q10_行7,Q10_行8,Q10_行9,Q10_行10,Q11_行1,Q11_行2,Q11_行3,Q11_行4,Q11_行5,Q11_行6,Q11_行7,Q11_行8,Q11_行9,Q11_行10,Q11_行11,Q11_行12,Q11_行13,Q11_行14,Q11_行15,Q11_行16,Q11_行17,Q11_行18,Q11_行19,Q11_行20,Q11_行21,Q11_行22,Q11_行23,Q11_行24,Q11_行25,Q11_行26,Q11_行27,Q11_行28,Q11_行29,Q11_行30,Q11_行31,Q11_行32,Q11_行33,Q11_行34,Q11_行35,Q11_行36,Q11_行37,Q11_行38,Q11_行39,Q11_行40,Q11_行41,Q11_行42,Q11_行43,Q11_行44,Q11_行45,Q11_行46,Q11_行47,Q11_行48,Q11_行49,Q11_行50,Q11_行51,Q11_行52,totalvalue,T1,T2,T3,N1,N2,N3,N4,S,Z1,Z2,Z3,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
72,4,2,2,青海省,1,4,3,4,2,2,3,4,2,3,2,3,4,3,3,2,2,3,3,4,3,3,3,2,2,3,3,2,3,3,3,3,2,3,2,3,2,3,3,2,2,2,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,11,45,27,141,13,15,7,10,27,75,32,34,12,9,12,10,11,11,10,11,10,12,10,12,11
73,4,2,4,青海省,1,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,48,30,157,15,15,9,9,30,84,36,37,12,12,12,12,12,13,12,12,12,12,12,12,12
74,4,2,1,青海,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,48,37,157,15,15,9,9,37,85,36,36,13,12,12,12,12,12,12,12,12,12,12,12,12
75,4,2,1,青海省,2,4,3,3,3,3,4,4,3,3,4,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,4,4,3,4,3,3,4,3,4,3,10,53,33,175,17,17,9,10,33,93,41,41,15,12,14,13,13,14,14,13,15,14,13,13,12
76,3,2,4,青海,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,50,34,156,15,15,9,11,34,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
77,4,2,1,青海省,2,4,4,5,3,2,4,5,3,2,2,3,4,2,1,1,5,5,4,5,4,3,2,2,1,4,3,2,3,2,4,4,4,2,4,1,1,5,4,4,5,3,4,3,4,4,4,3,2,4,3,5,4,5,4,4,5,4,4,4,3,4,5,3,4,5,3,3,3,3,2,3,4,4,3,3,4,3,3,4,4,4,13,51,26,188,17,13,7,14,26,98,49,41,16,11,14,16,14,12,14,16,15,13,15,19,13
79,4,2,1,青海,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,13,77,48,242,25,25,12,15,48,127,59,56,18,18,17,20,18,18,18,20,20,18,20,19,18
80,4,2,2,青海省,2,4,4,3,4,4,4,4,4,4,4,4,4,4,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,57,40,170,20,20,5,12,40,92,39,39,13,13,13,13,13,13,13,13,13,13,13,13,14
81,4,1,4,青海省,2,2,3,2,3,3,3,2,3,2,2,3,1,2,2,3,2,2,3,2,2,2,2,3,3,2,2,3,3,2,2,2,3,2,2,3,3,2,2,3,2,2,2,3,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,7,38,24,129,14,10,7,7,24,70,30,29,8,11,10,10,10,10,10,10,8,9,11,11,11
83,4,2,2,青海,2,4,3,5,4,4,4,4,4,3,2,2,3,3,3,1,3,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4,4,3,3,3,3,3,4,3,3,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,12,52,35,192,20,13,7,12,35,103,44,45,16,13,15,16,15,14,15,16,13,15,16,15,13
84,4,1,4,青海省,2,2,3,2,2,2,2,3,3,2,3,3,2,2,2,2,1,4,4,4,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,7,41,35,182,12,12,5,12,35,97,44,41,13,13,14,15,14,14,13,13,13,14,15,16,15
85,3,2,2,青海省,2,4,3,5,3,3,3,4,3,3,4,4,4,4,1,2,1,5,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,3,5,5,2,5,3,3,2,5,4,4,4,3,5,3,5,3,4,5,3,4,5,5,5,5,3,3,3,4,5,4,5,3,5,5,5,5,3,5,5,5,4,3,4,4,1,5,1,1,12,52,39,206,16,19,4,13,39,105,50,51,14,9,17,18,18,15,17,20,14,16,16,20,12
86,4,2,4,青海省,1,1,5,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,39,40,208,17,10,6,6,40,112,48,48,16,16,16,16,16,16,16,16,16,16,16,16,16
87,4,2,4,青海省,2,4,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,2,3,3,3,3,3,3,2,3,3,3,4,4,3,3,2,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,2,3,3,3,1,11,55,34,159,18,17,10,10,34,85,37,37,12,9,13,12,13,12,12,13,12,12,13,12,14
88,4,2,2,青海省,2,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,4,4,4,2,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,11,46,32,168,14,15,7,10,32,92,38,38,13,11,13,14,15,13,13,13,12,12,14,12,13
89,3,2,4,青海省,2,5,4,4,4,5,5,5,4,3,3,4,3,3,3,3,2,4,4,5,4,3,3,4,3,4,4,4,4,3,4,5,5,3,4,4,3,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,5,4,5,5,4,4,3,5,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,3,4,3,4,4,13,60,36,202,23,16,8,13,36,104,50,48,15,15,15,15,16,18,14,15,15,15,17,18,14
90,3,2,1,青海,1,4,4,4,4,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,3,4,4,3,4,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,4,12,56,35,185,18,17,11,10,35,98,42,45,14,13,15,15,14,15,13,14,13,16,15,14,14
91,3,2,4,青海,2,2,3,3,4,4,4,4,4,2,2,2,2,2,1,1,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,5,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,8,48,36,198,20,10,6,12,36,109,47,42,15,16,16,16,16,13,15,15,15,14,15,17,15
92,4,1,4,青海省,2,3,5,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,46,26,156,15,14,8,9,26,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
93,4,1,1,四川,1,4,4,5,4,4,4,4,4,3,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,2,13,59,40,202,20,19,8,12,40,109,45,48,15,14,16,16,16,15,16,17,14,16,15,16,16
94,3,2,4,青海省,2,4,5,3,4,3,2,3,3,1,1,1,2,3,1,1,1,4,4,5,4,3,4,4,4,3,4,4,4,4,4,5,5,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,39,38,207,15,8,3,13,38,110,48,49,17,16,16,16,15,16,16,17,16,16,16,16,14
95,4,2,4,青海省,2,2,4,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,2,4,4,2,3,3,2,2,3,3,4,3,2,3,3,4,2,3,3,4,3,3,3,3,3,3,3,4,3,4,3,3,4,3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,3,3,3,3,8,44,31,152,11,15,9,9,31,78,39,35,13,11,9,14,11,11,10,12,12,12,13,14,10
97,4,2,3,青海省,2,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,3,4,4,4,3,4,3,4,4,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,13,63,37,182,20,19,12,12,37,99,41,42,15,14,14,15,15,15,14,13,15,14,14,12,12
98,4,2,4,青海,2,4,4,4,2,3,3,2,3,2,4,3,2,3,3,2,3,2,3,3,2,3,2,3,3,4,3,4,2,4,2,4,2,2,3,3,4,2,2,3,2,4,2,3,4,3,3,3,4,3,2,3,2,2,4,4,3,2,4,4,3,2,2,4,3,2,4,2,4,3,4,2,3,4,4,2,3,3,4,2,3,3,12,43,30,154,13,14,8,8,30,84,37,33,12,14,10,12,12,11,12,11,13,11,14,10,12
99,4,2,4,青海,1,5,4,4,3,3,4,4,3,4,4,4,4,4,5,3,1,5,5,5,5,3,3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,5,4,3,3,3,3,5,5,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,4,13,61,27,171,17,20,9,15,27,93,40,38,15,13,14,12,13,12,12,14,14,12,14,12,14
100,4,2,4,青海省,2,1,2,1,3,3,4,4,3,2,3,4,2,2,2,1,1,4,4,5,3,3,3,2,3,3,3,2,3,2,4,4,3,3,4,2,2,3,3,4,4,3,4,2,4,4,4,3,3,3,3,4,3,3,2,3,4,4,3,3,2,2,4,2,2,4,3,2,2,2,2,4,5,4,3,3,4,2,2,4,3,2,4,47,27,161,17,13,4,13,27,86,38,37,14,9,12,16,13,10,10,13,12,14,10,16,12
101,2,1,1,长春,1,4,3,4,4,4,4,4,4,3,3,2,2,2,1,2,4,5,5,5,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,5,5,3,3,5,4,5,3,4,5,5,5,5,4,3,3,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,3,11,54,36,210,20,12,7,15,36,108,50,52,15,14,15,18,15,18,16,18,16,16,18,16,15
102,3,2,4,西宁,2,4,3,5,3,3,5,2,5,2,2,2,2,2,1,1,1,5,5,5,5,5,4,5,4,4,4,4,4,5,4,4,4,3,4,4,4,5,3,4,3,4,5,5,5,5,5,5,2,5,4,5,4,5,3,4,4,4,4,4,5,4,4,4,5,5,5,5,3,4,5,5,5,5,3,3,3,3,3,3,4,5,12,46,44,215,18,10,3,15,44,120,50,45,16,19,16,18,17,15,18,15,16,15,16,18,16
103,3,1,1,西宁,1,3,3,5,5,5,5,5,5,2,2,3,3,3,2,2,2,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,3,3,4,4,4,4,4,4,5,4,4,3,4,4,4,3,3,4,4,3,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,2,3,3,3,3,4,4,4,4,5,3,3,4,3,11,59,47,197,25,13,6,15,47,111,46,40,18,14,17,16,15,15,16,11,16,14,15,15,15
104,2,2,4,青海,2,4,2,4,1,2,1,3,2,2,3,4,4,3,2,1,1,4,4,3,3,4,1,1,1,5,3,3,3,2,3,5,4,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,5,3,3,2,3,4,4,5,5,5,5,3,4,5,4,5,5,3,3,4,4,4,4,4,5,3,4,4,4,3,4,4,4,10,40,26,208,9,16,4,11,26,110,52,46,19,17,11,18,15,16,14,15,16,15,17,19,16
105,3,2,4,湖南,2,5,3,3,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,11,51,33,167,19,15,8,9,33,89,39,39,12,12,13,14,14,12,12,13,12,14,12,15,12
106,3,2,2,青海省,2,4,4,3,2,2,2,3,2,3,4,3,4,3,4,4,3,4,3,4,4,4,3,3,3,3,3,4,4,3,3,3,2,1,4,3,4,4,3,3,2,5,5,3,4,4,4,3,3,5,3,3,3,4,5,3,4,5,5,5,4,5,4,2,5,5,3,3,3,5,5,4,3,4,3,2,4,4,3,5,5,4,11,50,34,193,11,17,11,11,34,105,45,43,15,18,12,17,16,16,14,13,10,14,20,15,13
107,2,2,2,青海,2,5,4,2,2,2,2,3,3,5,5,5,4,5,4,3,3,3,4,4,4,4,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,4,4,3,4,4,3,3,4,4,3,3,4,2,4,4,2,4,3,2,5,3,4,4,2,4,5,3,3,4,4,2,4,3,4,2,4,3,3,4,2,3,4,3,3,4,11,57,34,175,12,24,10,11,34,90,43,42,16,13,10,11,14,14,14,14,12,14,13,18,12
109,5,2,4,青海,1,3,4,2,3,4,4,4,4,3,3,3,5,4,4,1,2,5,5,5,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,9,59,31,159,19,18,7,15,31,85,37,37,12,13,12,12,12,12,12,13,12,12,13,12,12
110,5,2,1,青海省,2,4,5,4,1,2,2,3,2,1,2,2,1,1,1,1,3,5,5,5,3,4,3,3,3,3,5,5,5,4,4,5,4,1,4,4,4,4,4,3,4,3,4,3,4,5,4,3,3,5,3,3,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,13,37,38,226,10,7,5,15,38,121,52,53,20,19,18,17,16,19,17,17,17,17,18,17,14
111,5,2,4,青海,2,3,4,3,3,3,4,4,4,3,3,3,4,3,3,2,1,3,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,3,3,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,4,4,3,10,51,34,193,18,16,6,11,34,99,48,46,15,13,15,16,12,15,14,15,16,16,16,16,14
112,5,2,4,青海,2,2,4,3,3,2,3,3,3,2,2,2,3,3,2,1,1,4,4,4,2,2,2,2,2,3,2,3,3,3,3,4,4,3,3,2,3,3,3,3,4,4,4,2,3,3,3,3,4,4,4,4,3,3,3,2,4,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,9,42,24,167,14,12,4,12,24,89,39,39,14,14,12,13,13,12,11,14,12,13,13,14,12
113,5,2,2,青海,2,3,4,3,3,3,2,3,3,2,3,1,3,3,1,1,1,4,3,4,4,3,2,3,3,4,4,3,4,3,3,4,2,3,4,1,3,3,3,3,3,3,4,1,4,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,4,3,3,4,3,3,4,4,2,3,3,2,3,3,3,10,40,33,163,14,12,3,11,33,94,36,33,14,14,14,14,15,9,10,12,12,12,12,12,13
114,4,2,2,青海省,2,5,5,3,3,3,4,5,3,1,2,2,2,2,2,1,1,5,5,5,5,5,4,4,3,3,4,4,4,4,3,4,5,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,3,5,5,5,4,4,4,4,5,5,5,5,13,46,40,229,18,9,4,15,40,116,58,55,18,15,15,17,17,19,17,19,19,17,20,19,17
115,5,2,2,青海省,2,5,5,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,51,30,156,18,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
116,4,2,4,青海省,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,64,40,208,20,20,12,12,40,112,48,48,16,16,16,16,16,16,16,16,16,16,16,16,16
117,5,2,4,青海,2,4,4,3,3,3,2,4,2,4,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,46,30,155,14,15,8,9,30,83,36,36,12,12,12,12,12,12,11,12,12,12,12,12,12
118,5,2,2,青海省,2,3,2,5,3,5,5,3,4,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,4,3,3,4,3,3,4,4,4,4,3,3,3,3,4,3,3,4,4,3,4,3,3,4,3,3,3,4,4,3,3,4,3,3,3,4,4,1,1,1,10,55,34,173,20,17,9,9,34,96,37,40,15,12,13,14,14,13,13,12,12,15,10,15,15
119,5,2,2,青海省,2,3,4,5,3,1,4,2,3,2,3,3,2,2,1,1,3,5,5,5,4,4,3,3,1,4,3,4,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,3,3,4,4,4,4,2,4,4,4,5,5,4,4,4,2,4,3,4,12,45,33,204,13,12,5,15,33,111,47,46,17,16,17,17,14,16,15,15,15,15,14,18,15
120,3,2,4,青海省,1,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,2,2,2,2,3,2,2,3,4,2,4,2,2,4,3,2,4,3,4,2,3,4,4,2,3,4,4,4,2,3,3,3,4,3,4,3,2,4,4,3,4,3,2,2,3,3,2,3,4,4,3,3,4,2,2,4,4,2,11,34,22,161,10,10,6,8,22,80,42,39,12,10,9,16,14,11,9,15,12,13,14,16,10
121,3,2,2,青海,2,3,4,4,3,2,4,3,3,2,3,4,3,2,2,3,2,3,4,5,5,4,3,4,2,4,3,2,4,3,4,2,4,4,3,4,3,2,4,3,2,4,3,3,2,4,2,4,3,2,3,4,3,2,3,2,4,3,3,2,3,3,3,4,4,3,3,4,3,3,3,3,4,4,4,2,4,3,4,2,4,3,11,48,34,164,15,14,7,12,34,83,40,41,9,11,15,13,11,14,11,13,12,14,15,13,13
122,5,2,2,青海省,2,4,5,5,4,4,3,4,2,4,2,4,2,2,1,1,1,5,5,5,4,5,3,4,4,4,3,3,4,4,3,5,3,5,3,3,3,3,3,1,4,5,2,1,5,1,4,2,4,1,3,1,3,4,1,1,3,3,3,4,1,3,2,3,3,2,4,4,1,1,1,1,3,3,4,4,3,4,4,1,1,1,14,49,38,141,17,14,3,15,38,82,31,28,15,6,14,12,12,13,13,6,10,9,10,11,10
123,5,2,3,大通县,2,3,4,3,3,3,3,3,3,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2,3,4,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,10,41,27,148,15,10,8,8,27,79,36,33,12,12,11,11,12,11,11,10,12,12,12,12,10
124,2,1,1,吉林省,1,4,3,4,4,4,4,4,4,2,2,4,2,2,2,1,5,5,5,5,3,4,4,4,4,4,4,4,3,3,3,4,5,3,4,4,3,4,5,3,3,4,5,5,5,5,4,3,3,5,4,5,3,3,5,3,4,4,4,4,3,5,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,5,5,3,11,55,37,203,20,12,8,15,37,104,46,53,15,14,13,17,16,17,16,19,12,17,18,16,13
125,5,2,2,青海,2,4,4,3,2,3,2,3,2,2,2,2,3,3,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,37,30,153,12,12,4,9,30,82,36,35,12,11,12,12,12,12,11,12,12,11,12,12,12
126,3,1,2,甘肃,2,5,4,4,4,5,4,5,4,5,4,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,4,4,5,4,4,4,4,5,5,4,4,5,4,4,5,4,5,4,5,5,4,4,5,4,4,4,5,4,4,4,5,4,5,5,4,4,5,4,5,4,5,4,5,5,4,4,5,4,5,13,70,43,229,22,22,13,13,43,123,53,53,19,18,17,18,18,17,17,19,20,17,17,16,16
127,4,2,2,青海,1,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,2,4,3,4,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,18,35,208,6,5,4,3,35,112,48,48,16,16,16,16,16,16,16,16,16,16,16,16,16
128,4,2,4,青海省,2,4,5,3,3,4,3,4,4,4,3,3,3,3,1,1,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,4,3,3,4,4,4,3,4,3,4,3,3,4,4,3,5,5,5,5,3,5,4,3,4,5,12,51,30,183,18,16,5,12,30,101,42,40,14,15,15,14,14,15,16,13,13,12,15,14,13
129,3,2,4,青海,2,4,3,3,3,3,4,3,3,2,2,2,3,2,2,1,1,4,4,4,3,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,4,3,2,4,2,3,4,2,3,3,3,3,3,4,2,3,2,4,3,3,2,4,2,3,4,3,2,10,43,26,154,16,11,4,12,26,80,37,37,10,11,12,14,11,12,11,14,14,11,11,12,11
130,4,2,1,青海,1,4,3,4,2,2,3,4,2,3,3,3,4,4,2,3,3,4,4,4,4,4,2,2,2,4,3,3,4,2,3,4,3,2,3,2,4,4,3,4,4,4,3,3,3,3,4,3,4,3,3,3,2,3,4,3,4,3,4,4,2,5,5,4,5,4,2,2,3,5,4,4,4,4,2,3,4,3,3,4,4,4,11,50,30,179,13,17,8,12,30,91,48,40,15,15,9,15,14,13,11,13,14,14,17,17,12
131,3,2,2,天津,2,3,5,3,3,4,3,4,4,3,4,4,4,4,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,11,55,40,168,18,19,6,12,40,91,39,38,12,13,13,14,13,13,14,13,13,12,13,13,12
132,3,2,4,青海省,2,3,4,4,2,2,2,3,2,3,3,3,4,3,2,3,2,2,2,4,3,3,2,3,3,3,4,3,3,3,2,4,4,2,4,4,3,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,3,3,4,3,4,4,4,4,3,4,3,3,4,3,3,11,42,30,185,11,16,7,8,30,96,44,45,15,13,12,16,15,14,14,15,13,16,15,16,11
133,3,1,4,江苏省,2,4,3,3,3,3,3,4,3,3,3,3,3,4,3,2,3,3,2,3,2,3,3,3,2,3,2,3,3,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,2,3,2,3,3,3,3,10,48,26,139,16,16,8,8,26,74,35,30,11,12,10,11,10,10,11,10,12,10,11,12,9
134,3,2,2,青海,2,5,4,5,4,3,4,1,4,2,2,1,3,3,1,1,4,5,3,5,4,4,2,2,2,3,3,2,2,2,4,5,3,2,3,4,4,5,4,3,5,3,5,2,4,4,4,3,3,4,5,3,4,4,5,3,4,4,4,4,3,4,5,3,5,5,5,5,2,2,4,3,4,4,4,5,3,4,4,3,3,5,14,46,26,199,16,11,6,13,26,110,48,41,19,17,17,16,14,16,15,11,14,14,16,18,12
